TABLE_NAME	COLUMN_NAME	DATA_TYPE	COLUMN_TYPE	IS_NULLABLE	COLUMN_KEY	COLUMN_DEFAULT
tbl_subcategory	row_order	int	int	NO		NULL
tbl_tracker	id	int	int	NO	PRI	NULL
tbl_tracker	user_id	int	int	NO	MUL	NULL
tbl_tracker	uid	text	text	NO		NULL
tbl_tracker	points	varchar	varchar(255)	NO		NULL
tbl_tracker	type	text	text	NO		NULL
tbl_tracker	status	tinyint	tinyint	NO		NULL
tbl_tracker	date	date	date	NO		NULL
tbl_upload_languages	id	int	int	NO	PRI	NULL
tbl_upload_languages	name	varchar	varchar(512)	NO		NULL
tbl_upload_languages	title	varchar	varchar(512)	NO		NULL
tbl_upload_languages	app_version	varchar	varchar(100)	NO		0
tbl_upload_languages	web_version	varchar	varchar(100)	NO		0
tbl_upload_languages	app_rtl_support	tinyint	tinyint	NO		0
tbl_upload_languages	web_rtl_support	tinyint	tinyint	NO		0
tbl_upload_languages	app_status	tinyint	tinyint	NO		0
tbl_upload_languages	web_status	tinyint	tinyint	NO		0
tbl_upload_languages	app_default	tinyint	tinyint	NO		0
tbl_upload_languages	web_default	tinyint	tinyint	NO		0
tbl_user_audio_quiz_session	id	bigint	bigint	NO	PRI	NULL
tbl_user_audio_quiz_session	user_id	int	int	NO	MUL	NULL
tbl_user_audio_quiz_session	questions	longtext	longtext	NO	MUL	NULL
tbl_user_audio_quiz_session	date	date	date	YES		NULL
tbl_user_category	id	int	int	NO	PRI	NULL
tbl_user_category	user_id	int	int	NO	MUL	NULL
tbl_user_category	category_id	int	int	NO		NULL
tbl_user_contest_session	id	bigint	bigint	NO	PRI	NULL
tbl_user_contest_session	user_id	int	int	NO	MUL	NULL
tbl_user_contest_session	questions	longtext	longtext	NO	MUL	NULL
tbl_user_contest_session	date	date	date	YES		NULL
tbl_user_daily_quiz_session	id	bigint	bigint	NO	PRI	NULL
tbl_user_daily_quiz_session	user_id	int	int	NO	MUL	NULL
tbl_user_daily_quiz_session	questions	longtext	longtext	NO	MUL	NULL
tbl_user_daily_quiz_session	date	date	date	YES		NULL
tbl_user_fun_n_learn_session	id	bigint	bigint	NO	PRI	NULL
tbl_user_fun_n_learn_session	user_id	int	int	NO	MUL	NULL
tbl_user_fun_n_learn_session	questions	longtext	longtext	NO	MUL	NULL
tbl_user_fun_n_learn_session	date	date	date	YES		NULL
tbl_user_guess_the_word_session	id	bigint	bigint	NO	PRI	NULL
tbl_user_guess_the_word_session	user_id	int	int	NO	MUL	NULL
tbl_user_guess_the_word_session	questions	longtext	longtext	NO	MUL	NULL
tbl_user_guess_the_word_session	date	date	date	YES		NULL
tbl_user_maths_quiz_session	id	bigint	bigint	NO	PRI	NULL
tbl_user_maths_quiz_session	user_id	int	int	NO	MUL	NULL
tbl_user_maths_quiz_session	questions	longtext	longtext	NO	MUL	NULL
tbl_user_maths_quiz_session	date	date	date	YES		NULL
